# GENERATED by ./gradlew generateBedrockConstants. Do not edit.
#
# Bedrock's internal short name for a vanilla item, and Java's translation key for it.
# The whole key, because a block's item form is `block.minecraft.` in Java and
# everything else `item.minecraft.`, and that is not derivable from the path.
# Joined on the English display name and kept only where that name is unique in BOTH
# games; a hand-written answer in spec/upstream/vanilla-names.manual.yaml overrides.
#
# No upstream content is reproduced here - an id beside an id is a fact about two
# games, not Mojang's data. Constitution rule 10, spec/upstream/fetch.md.
carved_pumpkin	block.minecraft.carved_pumpkin
chain	block.minecraft.chain
chain_command_block	block.minecraft.chain_command_block
chainmail_boots	item.minecraft.chainmail_boots
chainmail_chestplate	item.minecraft.chainmail_chestplate
chainmail_helmet	item.minecraft.chainmail_helmet
chainmail_leggings	item.minecraft.chainmail_leggings
charcoal	item.minecraft.charcoal
cherry_button	block.minecraft.cherry_button
cherry_door	block.minecraft.cherry_door
cherry_fence	block.minecraft.cherry_fence
cherry_fence_gate	block.minecraft.cherry_fence_gate
cherry_hanging_sign	block.minecraft.cherry_hanging_sign
cherry_leaves	block.minecraft.cherry_leaves
cherry_log	block.minecraft.cherry_log
cherry_planks	block.minecraft.cherry_planks
cherry_pressure_plate	block.minecraft.cherry_pressure_plate
cherry_sapling	block.minecraft.cherry_sapling
cherry_shelf	block.minecraft.cherry_shelf
cherry_slab	block.minecraft.cherry_slab
cherry_stairs	block.minecraft.cherry_stairs
cherry_trapdoor	block.minecraft.cherry_trapdoor
cherry_wall_sign	block.minecraft.cherry_wall_sign
cherry_wood	block.minecraft.cherry_wood
chest	block.minecraft.chest
chest_boat.acacia	item.minecraft.acacia_chest_boat
chest_boat.bamboo	item.minecraft.bamboo_chest_raft
chest_boat.big_oak	item.minecraft.dark_oak_chest_boat
chest_boat.birch	item.minecraft.birch_chest_boat
chest_boat.cherry	item.minecraft.cherry_chest_boat
chest_boat.jungle	item.minecraft.jungle_chest_boat
chest_boat.mangrove	item.minecraft.mangrove_chest_boat
chest_boat.oak	item.minecraft.oak_chest_boat
chest_boat.pale_oak	item.minecraft.pale_oak_chest_boat
chest_boat.spruce	item.minecraft.spruce_chest_boat
chest_minecart	item.minecraft.chest_minecart
chicken	item.minecraft.chicken
chiseled_bookshelf	block.minecraft.chiseled_bookshelf
chiseled_cinnabar	block.minecraft.chiseled_cinnabar
chiseled_copper	block.minecraft.chiseled_copper
chiseled_deepslate	block.minecraft.chiseled_deepslate
chiseled_nether_bricks	block.minecraft.chiseled_nether_bricks
chiseled_polished_blackstone	block.minecraft.chiseled_polished_blackstone
chiseled_resin_bricks	block.minecraft.chiseled_resin_bricks
chiseled_sulfur	block.minecraft.chiseled_sulfur
chiseled_tuff	block.minecraft.chiseled_tuff
chiseled_tuff_bricks	block.minecraft.chiseled_tuff_bricks
chorus_flower	block.minecraft.chorus_flower
chorus_fruit	item.minecraft.chorus_fruit
chorus_fruit_popped	item.minecraft.popped_chorus_fruit
chorus_plant	block.minecraft.chorus_plant
cinnabar	block.minecraft.cinnabar
cinnabar_brick_slab	block.minecraft.cinnabar_brick_slab
cinnabar_brick_stairs	block.minecraft.cinnabar_brick_stairs
cinnabar_brick_wall	block.minecraft.cinnabar_brick_wall
cinnabar_bricks	block.minecraft.cinnabar_bricks
cinnabar_slab	block.minecraft.cinnabar_slab
cinnabar_stairs	block.minecraft.cinnabar_stairs
cinnabar_wall	block.minecraft.cinnabar_wall
clay	block.minecraft.clay
clay_ball	item.minecraft.clay_ball
clock	item.minecraft.clock
closed_eyeblossom	block.minecraft.closed_eyeblossom
clownfish	item.minecraft.tropical_fish
coal	item.minecraft.coal
coal_block	block.minecraft.coal_block
coal_ore	block.minecraft.coal_ore
cobbled_deepslate	block.minecraft.cobbled_deepslate
cobbled_deepslate_slab	block.minecraft.cobbled_deepslate_slab
cobbled_deepslate_stairs	block.minecraft.cobbled_deepslate_stairs
cobbled_deepslate_wall	block.minecraft.cobbled_deepslate_wall
cobblestone	block.minecraft.cobblestone
cobblestone_wall.andesite	block.minecraft.andesite_wall
cobblestone_wall.brick	block.minecraft.brick_wall
cobblestone_wall.diorite	block.minecraft.diorite_wall
cobblestone_wall.end_brick	block.minecraft.end_stone_brick_wall
cobblestone_wall.granite	block.minecraft.granite_wall
cobblestone_wall.mossy	block.minecraft.mossy_cobblestone_wall
cobblestone_wall.mossy_stone_brick	block.minecraft.mossy_stone_brick_wall
cobblestone_wall.nether_brick	block.minecraft.nether_brick_wall
cobblestone_wall.normal	block.minecraft.cobblestone_wall
cobblestone_wall.prismarine	block.minecraft.prismarine_wall
cobblestone_wall.red_nether_brick	block.minecraft.red_nether_brick_wall
cobblestone_wall.red_sandstone	block.minecraft.red_sandstone_wall
