# GENERATED by ./gradlew generateBedrockConstants. Do not edit.
#
# Bedrock's internal short name for a vanilla item, and Java's translation key for it.
# The whole key, because a block's item form is `block.minecraft.` in Java and
# everything else `item.minecraft.`, and that is not derivable from the path.
# Joined on the English display name and kept only where that name is unique in BOTH
# games; a hand-written answer in spec/upstream/vanilla-names.manual.yaml overrides.
#
# No upstream content is reproduced here - an id beside an id is a fact about two
# games, not Mojang's data. Constitution rule 10, spec/upstream/fetch.md.
spruce_fence_gate	block.minecraft.spruce_fence_gate
spruce_hanging_sign	block.minecraft.spruce_hanging_sign
spruce_pressure_plate	block.minecraft.spruce_pressure_plate
spruce_shelf	block.minecraft.spruce_shelf
spruce_stairs	block.minecraft.spruce_stairs
spruce_trapdoor	block.minecraft.spruce_trapdoor
spruce_wall_sign	block.minecraft.spruce_wall_sign
spyglass	item.minecraft.spyglass
stained_glass.black	block.minecraft.black_stained_glass
stained_glass.blue	block.minecraft.blue_stained_glass
stained_glass.brown	block.minecraft.brown_stained_glass
stained_glass.cyan	block.minecraft.cyan_stained_glass
stained_glass.gray	block.minecraft.gray_stained_glass
stained_glass.green	block.minecraft.green_stained_glass
stained_glass.light_blue	block.minecraft.light_blue_stained_glass
stained_glass.lime	block.minecraft.lime_stained_glass
stained_glass.magenta	block.minecraft.magenta_stained_glass
stained_glass.orange	block.minecraft.orange_stained_glass
stained_glass.pink	block.minecraft.pink_stained_glass
stained_glass.purple	block.minecraft.purple_stained_glass
stained_glass.red	block.minecraft.red_stained_glass
stained_glass.silver	block.minecraft.light_gray_stained_glass
stained_glass.white	block.minecraft.white_stained_glass
stained_glass.yellow	block.minecraft.yellow_stained_glass
stained_glass_pane.black	block.minecraft.black_stained_glass_pane
stained_glass_pane.blue	block.minecraft.blue_stained_glass_pane
stained_glass_pane.brown	block.minecraft.brown_stained_glass_pane
stained_glass_pane.cyan	block.minecraft.cyan_stained_glass_pane
stained_glass_pane.gray	block.minecraft.gray_stained_glass_pane
stained_glass_pane.green	block.minecraft.green_stained_glass_pane
stained_glass_pane.light_blue	block.minecraft.light_blue_stained_glass_pane
stained_glass_pane.lime	block.minecraft.lime_stained_glass_pane
stained_glass_pane.magenta	block.minecraft.magenta_stained_glass_pane
stained_glass_pane.orange	block.minecraft.orange_stained_glass_pane
stained_glass_pane.pink	block.minecraft.pink_stained_glass_pane
stained_glass_pane.purple	block.minecraft.purple_stained_glass_pane
stained_glass_pane.red	block.minecraft.red_stained_glass_pane
stained_glass_pane.silver	block.minecraft.light_gray_stained_glass_pane
stained_glass_pane.white	block.minecraft.white_stained_glass_pane
stained_glass_pane.yellow	block.minecraft.yellow_stained_glass_pane
stained_hardened_clay.black	block.minecraft.black_terracotta
stained_hardened_clay.blue	block.minecraft.blue_terracotta
stained_hardened_clay.brown	block.minecraft.brown_terracotta
stained_hardened_clay.cyan	block.minecraft.cyan_terracotta
stained_hardened_clay.gray	block.minecraft.gray_terracotta
stained_hardened_clay.green	block.minecraft.green_terracotta
stained_hardened_clay.lightBlue	block.minecraft.light_blue_terracotta
stained_hardened_clay.lime	block.minecraft.lime_terracotta
stained_hardened_clay.magenta	block.minecraft.magenta_terracotta
stained_hardened_clay.orange	block.minecraft.orange_terracotta
stained_hardened_clay.pink	block.minecraft.pink_terracotta
stained_hardened_clay.purple	block.minecraft.purple_terracotta
stained_hardened_clay.red	block.minecraft.red_terracotta
stained_hardened_clay.silver	block.minecraft.light_gray_terracotta
stained_hardened_clay.white	block.minecraft.white_terracotta
stained_hardened_clay.yellow	block.minecraft.yellow_terracotta
standing_sign	item.minecraft.sign
stick	item.minecraft.stick
sticky_piston	block.minecraft.sticky_piston
stone.andesite	block.minecraft.andesite
stone.andesiteSmooth	block.minecraft.polished_andesite
stone.diorite	block.minecraft.diorite
stone.dioriteSmooth	block.minecraft.polished_diorite
stone.granite	block.minecraft.granite
stone.graniteSmooth	block.minecraft.polished_granite
stone.stone	block.minecraft.stone
stone_axe	item.minecraft.stone_axe
stone_brick_stairs	block.minecraft.stone_brick_stairs
stone_button	block.minecraft.stone_button
stone_hoe	item.minecraft.stone_hoe
stone_pickaxe	item.minecraft.stone_pickaxe
stone_pressure_plate	block.minecraft.stone_pressure_plate
stone_shovel	item.minecraft.stone_shovel
stone_slab.stone	block.minecraft.smooth_stone_slab
stone_slab2.mossy_cobblestone	block.minecraft.mossy_cobblestone_slab
stone_slab2.prismarine.bricks	block.minecraft.prismarine_brick_slab
stone_slab2.prismarine.dark	block.minecraft.dark_prismarine_slab
stone_slab2.prismarine.rough	block.minecraft.prismarine_slab
stone_slab2.purpur	block.minecraft.purpur_slab
stone_slab2.red_nether_brick	block.minecraft.red_nether_brick_slab
stone_slab2.sandstone.smooth	block.minecraft.smooth_sandstone_slab
stone_slab3.andesite	block.minecraft.andesite_slab
stone_slab3.andesite.smooth	block.minecraft.polished_andesite_slab
stone_slab3.diorite	block.minecraft.diorite_slab
stone_slab3.diorite.smooth	block.minecraft.polished_diorite_slab
stone_slab3.end_brick	block.minecraft.end_stone_brick_slab
stone_slab3.granite	block.minecraft.granite_slab
stone_slab3.granite.smooth	block.minecraft.polished_granite_slab
stone_slab3.red_sandstone.smooth	block.minecraft.smooth_red_sandstone_slab
stone_slab4.cut_red_sandstone	block.minecraft.cut_red_sandstone_slab
stone_slab4.cut_sandstone	block.minecraft.cut_sandstone_slab
stone_slab4.mossy_stone_brick	block.minecraft.mossy_stone_brick_slab
stone_slab4.smooth_quartz	block.minecraft.smooth_quartz_slab
stone_spear	item.minecraft.stone_spear
stone_stairs	block.minecraft.cobblestone_stairs
stone_sword	item.minecraft.stone_sword
stonebrick.chiseled	block.minecraft.chiseled_stone_bricks
stonebrick.cracked	block.minecraft.cracked_stone_bricks
stonebrick.mossy	block.minecraft.mossy_stone_bricks
string	item.minecraft.string
stripped_acacia_log	block.minecraft.stripped_acacia_log
stripped_bamboo_block	block.minecraft.stripped_bamboo_block
stripped_birch_log	block.minecraft.stripped_birch_log
stripped_cherry_log	block.minecraft.stripped_cherry_log
stripped_cherry_wood	block.minecraft.stripped_cherry_wood
stripped_crimson_hyphae	block.minecraft.stripped_crimson_hyphae
stripped_crimson_stem	block.minecraft.stripped_crimson_stem
stripped_dark_oak_log	block.minecraft.stripped_dark_oak_log
stripped_jungle_log	block.minecraft.stripped_jungle_log
stripped_mangrove_log	block.minecraft.stripped_mangrove_log
stripped_mangrove_wood	block.minecraft.stripped_mangrove_wood
stripped_oak_log	block.minecraft.stripped_oak_log
stripped_pale_oak_log	block.minecraft.stripped_pale_oak_log
stripped_pale_oak_wood	block.minecraft.stripped_pale_oak_wood
stripped_spruce_log	block.minecraft.stripped_spruce_log
stripped_warped_hyphae	block.minecraft.stripped_warped_hyphae
stripped_warped_stem	block.minecraft.stripped_warped_stem
structure_block	block.minecraft.structure_block
structure_void	block.minecraft.structure_void
sugar	item.minecraft.sugar
sulfur	block.minecraft.sulfur
sulfur_brick_slab	block.minecraft.sulfur_brick_slab
sulfur_brick_stairs	block.minecraft.sulfur_brick_stairs
sulfur_brick_wall	block.minecraft.sulfur_brick_wall
sulfur_bricks	block.minecraft.sulfur_bricks
sulfur_slab	block.minecraft.sulfur_slab
sulfur_spike	block.minecraft.sulfur_spike
sulfur_stairs	block.minecraft.sulfur_stairs
sulfur_wall	block.minecraft.sulfur_wall
suspicious_gravel	block.minecraft.suspicious_gravel
suspicious_sand	block.minecraft.suspicious_sand
suspicious_stew	item.minecraft.suspicious_stew
sweet_berries	item.minecraft.sweet_berries
sweet_berry_bush	block.minecraft.sweet_berry_bush
tall_dry_grass	block.minecraft.tall_dry_grass
tallgrass.fern	block.minecraft.fern
target	block.minecraft.target
tinted_glass	block.minecraft.tinted_glass
tipped_arrow	item.minecraft.tipped_arrow
tnt	block.minecraft.tnt
tnt_minecart	item.minecraft.tnt_minecart
torch	block.minecraft.torch
torchflower	block.minecraft.torchflower
torchflower_crop	block.minecraft.torchflower_crop
torchflower_seeds	item.minecraft.torchflower_seeds
totem	item.minecraft.totem_of_undying
trapdoor	block.minecraft.oak_trapdoor
trapped_chest	block.minecraft.trapped_chest
trial_key	item.minecraft.trial_key
trial_spawner	block.minecraft.trial_spawner
trident	item.minecraft.trident
tripWire	block.minecraft.tripwire
tripwire_hook	block.minecraft.tripwire_hook
tube_coral_wall_fan	block.minecraft.tube_coral_wall_fan
tuff	block.minecraft.tuff
tuff_brick_slab	block.minecraft.tuff_brick_slab
tuff_brick_stairs	block.minecraft.tuff_brick_stairs
tuff_brick_wall	block.minecraft.tuff_brick_wall
tuff_bricks	block.minecraft.tuff_bricks
tuff_slab	block.minecraft.tuff_slab
tuff_stairs	block.minecraft.tuff_stairs
tuff_wall	block.minecraft.tuff_wall
turtle_egg	block.minecraft.turtle_egg
turtle_helmet	item.minecraft.turtle_helmet
turtle_shell_piece	item.minecraft.turtle_scute
twisting_vines	block.minecraft.twisting_vines
vault	block.minecraft.vault
verdant_froglight	block.minecraft.verdant_froglight
vine	block.minecraft.vine
warped_button	block.minecraft.warped_button
warped_door	block.minecraft.warped_door
warped_fence	block.minecraft.warped_fence
warped_fence_gate	block.minecraft.warped_fence_gate
warped_fungus	block.minecraft.warped_fungus
warped_fungus_on_a_stick	item.minecraft.warped_fungus_on_a_stick
warped_hanging_sign	block.minecraft.warped_hanging_sign
warped_hyphae	block.minecraft.warped_hyphae
warped_nylium	block.minecraft.warped_nylium
warped_planks	block.minecraft.warped_planks
warped_pressure_plate	block.minecraft.warped_pressure_plate
warped_roots.warpedRoots	block.minecraft.warped_roots
warped_shelf	block.minecraft.warped_shelf
warped_stairs	block.minecraft.warped_stairs
warped_stem	block.minecraft.warped_stem
warped_trapdoor	block.minecraft.warped_trapdoor
warped_wart_block	block.minecraft.warped_wart_block
waterlily	block.minecraft.lily_pad
waxed_chiseled_copper	block.minecraft.waxed_chiseled_copper
waxed_copper	block.minecraft.waxed_copper_block
waxed_copper_bars	block.minecraft.waxed_copper_bars
waxed_copper_bulb	block.minecraft.waxed_copper_bulb
waxed_copper_chain	block.minecraft.waxed_copper_chain
waxed_copper_chest	block.minecraft.waxed_copper_chest
waxed_copper_door	block.minecraft.waxed_copper_door
waxed_copper_golem_statue	block.minecraft.waxed_copper_golem_statue
waxed_copper_grate	block.minecraft.waxed_copper_grate
waxed_copper_lantern	block.minecraft.waxed_copper_lantern
waxed_copper_trapdoor	block.minecraft.waxed_copper_trapdoor
waxed_cut_copper	block.minecraft.waxed_cut_copper
waxed_cut_copper_slab	block.minecraft.waxed_cut_copper_slab
waxed_cut_copper_stairs	block.minecraft.waxed_cut_copper_stairs
waxed_exposed_chiseled_copper	block.minecraft.waxed_exposed_chiseled_copper
waxed_exposed_copper	block.minecraft.waxed_exposed_copper
waxed_exposed_copper_bars	block.minecraft.waxed_exposed_copper_bars
waxed_exposed_copper_bulb	block.minecraft.waxed_exposed_copper_bulb
waxed_exposed_copper_chain	block.minecraft.waxed_exposed_copper_chain
waxed_exposed_copper_chest	block.minecraft.waxed_exposed_copper_chest
waxed_exposed_copper_door	block.minecraft.waxed_exposed_copper_door
waxed_exposed_copper_golem_statue	block.minecraft.waxed_exposed_copper_golem_statue
waxed_exposed_copper_grate	block.minecraft.waxed_exposed_copper_grate
waxed_exposed_copper_lantern	block.minecraft.waxed_exposed_copper_lantern
waxed_exposed_copper_trapdoor	block.minecraft.waxed_exposed_copper_trapdoor
waxed_exposed_cut_copper	block.minecraft.waxed_exposed_cut_copper
waxed_exposed_cut_copper_slab	block.minecraft.waxed_exposed_cut_copper_slab
waxed_exposed_cut_copper_stairs	block.minecraft.waxed_exposed_cut_copper_stairs
waxed_exposed_lightning_rod	block.minecraft.waxed_exposed_lightning_rod
waxed_lightning_rod	block.minecraft.waxed_lightning_rod
waxed_oxidized_chiseled_copper	block.minecraft.waxed_oxidized_chiseled_copper
waxed_oxidized_copper	block.minecraft.waxed_oxidized_copper
waxed_oxidized_copper_bars	block.minecraft.waxed_oxidized_copper_bars
waxed_oxidized_copper_bulb	block.minecraft.waxed_oxidized_copper_bulb
waxed_oxidized_copper_chain	block.minecraft.waxed_oxidized_copper_chain
waxed_oxidized_copper_chest	block.minecraft.waxed_oxidized_copper_chest
waxed_oxidized_copper_door	block.minecraft.waxed_oxidized_copper_door
waxed_oxidized_copper_golem_statue	block.minecraft.waxed_oxidized_copper_golem_statue
waxed_oxidized_copper_grate	block.minecraft.waxed_oxidized_copper_grate
waxed_oxidized_copper_lantern	block.minecraft.waxed_oxidized_copper_lantern
waxed_oxidized_copper_trapdoor	block.minecraft.waxed_oxidized_copper_trapdoor
waxed_oxidized_cut_copper	block.minecraft.waxed_oxidized_cut_copper
waxed_oxidized_cut_copper_slab	block.minecraft.waxed_oxidized_cut_copper_slab
waxed_oxidized_cut_copper_stairs	block.minecraft.waxed_oxidized_cut_copper_stairs
waxed_oxidized_lightning_rod	block.minecraft.waxed_oxidized_lightning_rod
waxed_weathered_chiseled_copper	block.minecraft.waxed_weathered_chiseled_copper
waxed_weathered_copper	block.minecraft.waxed_weathered_copper
waxed_weathered_copper_bars	block.minecraft.waxed_weathered_copper_bars
waxed_weathered_copper_bulb	block.minecraft.waxed_weathered_copper_bulb
waxed_weathered_copper_chain	block.minecraft.waxed_weathered_copper_chain
waxed_weathered_copper_chest	block.minecraft.waxed_weathered_copper_chest
waxed_weathered_copper_door	block.minecraft.waxed_weathered_copper_door
waxed_weathered_copper_golem_statue	block.minecraft.waxed_weathered_copper_golem_statue
waxed_weathered_copper_grate	block.minecraft.waxed_weathered_copper_grate
waxed_weathered_copper_lantern	block.minecraft.waxed_weathered_copper_lantern
waxed_weathered_copper_trapdoor	block.minecraft.waxed_weathered_copper_trapdoor
waxed_weathered_cut_copper	block.minecraft.waxed_weathered_cut_copper
waxed_weathered_cut_copper_slab	block.minecraft.waxed_weathered_cut_copper_slab
waxed_weathered_cut_copper_stairs	block.minecraft.waxed_weathered_cut_copper_stairs
waxed_weathered_lightning_rod	block.minecraft.waxed_weathered_lightning_rod
weathered_chiseled_copper	block.minecraft.weathered_chiseled_copper
weathered_copper	block.minecraft.weathered_copper
weathered_copper_bars	block.minecraft.weathered_copper_bars
weathered_copper_bulb	block.minecraft.weathered_copper_bulb
weathered_copper_chain	block.minecraft.weathered_copper_chain
weathered_copper_chest	block.minecraft.weathered_copper_chest
weathered_copper_door	block.minecraft.weathered_copper_door
weathered_copper_golem_statue	block.minecraft.weathered_copper_golem_statue
weathered_copper_grate	block.minecraft.weathered_copper_grate
weathered_copper_lantern	block.minecraft.weathered_copper_lantern
weathered_copper_trapdoor	block.minecraft.weathered_copper_trapdoor
weathered_cut_copper	block.minecraft.weathered_cut_copper
weathered_cut_copper_slab	block.minecraft.weathered_cut_copper_slab
weathered_cut_copper_stairs	block.minecraft.weathered_cut_copper_stairs
weathered_lightning_rod	block.minecraft.weathered_lightning_rod
web	block.minecraft.cobweb
weeping_vines	block.minecraft.weeping_vines
wheat	item.minecraft.wheat
wheat_seeds	item.minecraft.wheat_seeds
white_candle	block.minecraft.white_candle
white_candle_cake	block.minecraft.white_candle_cake
white_harness	item.minecraft.white_harness
wildflowers	block.minecraft.wildflowers
wind_charge	item.minecraft.wind_charge
wither_rose	block.minecraft.wither_rose
wolf_armor	item.minecraft.wolf_armor
wood.acacia	block.minecraft.acacia_wood
wood.birch	block.minecraft.birch_wood
wood.dark_oak	block.minecraft.dark_oak_wood
wood.jungle	block.minecraft.jungle_wood
wood.oak	block.minecraft.oak_wood
wood.spruce	block.minecraft.spruce_wood
wood.stripped.acacia	block.minecraft.stripped_acacia_wood
wood.stripped.birch	block.minecraft.stripped_birch_wood
wood.stripped.dark_oak	block.minecraft.stripped_dark_oak_wood
wood.stripped.jungle	block.minecraft.stripped_jungle_wood
wood.stripped.oak	block.minecraft.stripped_oak_wood
wood.stripped.spruce	block.minecraft.stripped_spruce_wood
wooden_axe	item.minecraft.wooden_axe
wooden_button	block.minecraft.oak_button
wooden_door	block.minecraft.oak_door
wooden_hoe	item.minecraft.wooden_hoe
wooden_pickaxe	item.minecraft.wooden_pickaxe
wooden_pressure_plate	block.minecraft.oak_pressure_plate
wooden_shovel	item.minecraft.wooden_shovel
wooden_slab.acacia	block.minecraft.acacia_slab
wooden_slab.big_oak	block.minecraft.dark_oak_slab
wooden_slab.birch	block.minecraft.birch_slab
wooden_slab.jungle	block.minecraft.jungle_slab
wooden_slab.oak	block.minecraft.oak_slab
wooden_slab.spruce	block.minecraft.spruce_slab
wooden_spear	item.minecraft.wooden_spear
wooden_sword	item.minecraft.wooden_sword
wool.black	block.minecraft.black_wool
wool.blue	block.minecraft.blue_wool
wool.brown	block.minecraft.brown_wool
wool.cyan	block.minecraft.cyan_wool
wool.gray	block.minecraft.gray_wool
wool.green	block.minecraft.green_wool
wool.lightBlue	block.minecraft.light_blue_wool
wool.lime	block.minecraft.lime_wool
wool.magenta	block.minecraft.magenta_wool
wool.orange	block.minecraft.orange_wool
wool.pink	block.minecraft.pink_wool
wool.purple	block.minecraft.purple_wool
wool.red	block.minecraft.red_wool
wool.silver	block.minecraft.light_gray_wool
wool.white	block.minecraft.white_wool
wool.yellow	block.minecraft.yellow_wool
writable_book	item.minecraft.writable_book
written_book	item.minecraft.written_book
yellow_candle	block.minecraft.yellow_candle
yellow_candle_cake	block.minecraft.yellow_candle_cake
yellow_flower.dandelion	block.minecraft.dandelion
yellow_harness	item.minecraft.yellow_harness
